"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Перевірка сторінки входу","","Довідка ? для планшетної версії, англійська локалізація","0","0","2","0","0"
"Перевірка сторінки входу","","Перевірка статичних UI елементів розділу Авторизація, іспанська локалізація","0","0","1","0","0"
"Перевірка сторінки входу","","Реєстрація нового користувача (неправильні дані обов'язкові та опціональні поля) MyAIR-85","0","0","1","0","0"
"Перевірка сторінки входу","","Перевірка локалізації (reg ua, login esp, ЛК ua) MyAIR-90","1","0","1","0","0"
"Перевірка сторінки входу","","Реєстрація нового користувача (валідні дані), іспанська локалізація","1","0","0","0","0"
"Перевірка сторінки входу","","Реєстрація нового користувача (валідні дані, без підтвердження чекбокса політ. конф.) MyAIR-82","0","0","1","0","0"
"Перевірка сторінки входу","","Введення невалідного Email MyAIR-78(перевірка вводу пустого значення, без @, без . , укр/рос )","0","0","1","0","0"
"Перевірка сторінки входу","","Введення невалідного пароля MyAIR-79","0","0","1","0","0"
"Перевірка сторінки входу","","Перехід за посиланням Privacy Policy в чекбоксі при реєстрації MyAIR-86","1","0","0","0","0"
"Перевірка сторінки входу","","Перевірка локалізації (reg eng, login ru, ЛК eng) MyAIR-89","0","0","1","0","0"
"Перевірка сторінки входу","","Перевірка статичних UI елементів розділу Авторизація, англійська локалізація","0","0","1","0","0"
"Перевірка сторінки входу","","Вхід юзера, якого раніше було заблоковано, всі 4 локалізації","1","0","0","0","0"
"Перевірка сторінки входу","","Реєстрація вже зареєстрованого користувача MyAIR-83","0","0","1","0","0"
"Перевірка сторінки входу","","Реєстрація нового користувача (валідні дані), англійська локалізація","1","0","0","0","0"
"Перевірка сторінки входу","","Редірект юзера в кабінет якщо залогінений при спробі зайти на login/register","1","0","0","0","0"
"Перевірка сторінки входу","","Авторизація користувача (валідні дані), іспанська локалізація","1","0","0","0","0"
"Перевірка сторінки входу","","Перехід за посиланням Privacy Policy в футері при реєстрації MyAIR-87","1","0","0","0","0"
"Перевірка сторінки входу","","Введення невалідного значення в поле Preferred contact(256 символів) MyAIR-81","0","0","1","0","0"
"Перевірка сторінки входу","","Введення невалідного значення в поле youtube MyAIR-80","0","0","1","0","0"
"Перевірка сторінки входу","","Перевірка статичних UI елементів розділу Авторизація, українська локалізація","1","0","0","0","0"
"Перевірка сторінки входу","","Перевірка статичних UI елементів розділу Авторизація, російська локалізація","0","0","1","0","0"
"Перевірка сторінки входу","","Реєстрація користувача з порожніми полями MyAIR-84","0","0","1","0","0"
